 67769  743.46 1659.06 99.999  9.999 19.215   0   0 9.999 5507  13 0.126
 67770  554.11 1659.11 99.999  9.999 19.500   0   0 9.999 5465   2 0.293
 67771  567.42 1659.74 21.965  2.466 19.498  79   0 0.353 5483   2 0.188
 67772  618.46 1659.35 99.999  9.999 19.204   0   0 9.999 5533   3 0.188
 67773  804.75 1661.73 21.896  2.944 18.952  77   0 0.325 5525   7 0.091
 67774  875.84 1660.04 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 67776  586.55 1660.31 22.146  2.785 19.360  69   0 0.451 5505   5 0.140
 67777  636.15 1660.41 21.903  2.870 19.033  85   0 0.435 5526   5 0.103
 67778  823.11 1660.81 99.999  9.999 19.036   0   0 9.999 5520   9 0.100
 67782  735.39 1661.91 99.999  9.999 19.183   0   0 9.999 5533   4 0.128
 67783  942.42 1662.06 99.999  9.999 19.259   0   0 9.999 5524  10 0.125
 67784  680.90 1661.85 99.999  9.999 19.533   0   0 9.999 5485   7 0.177
 67785  827.91 1662.93 21.954  2.626 19.328  75   1 0.334 5506  11 0.136
 67786  853.73 1662.09 99.999  9.999 19.624   0   0 9.999 5422   8 0.221
 67789  595.17 1662.88 99.999  9.999 19.613   0   0 9.999 5458   2 0.198
 67790  710.70 1662.76 99.999  9.999 19.479   0   0 9.999 5521   7 0.160
 67791  715.70 1663.28 99.999  9.999 19.312   0   0 9.999 5525   4 0.143
 67792  900.20 1663.08 21.149  1.780 19.369  80   0 0.322 5454   8 0.195
 67793  893.12 1664.47 99.999  9.999 99.999   0   0 9.999    0   0 9.999
 67795  623.20 1665.68 21.770  2.330 19.439  83   0 0.350 5495  11 0.192
 67796  643.20 1665.40 99.999  9.999 18.848   0   0 9.999 5529   6 0.087
 67797  671.98 1665.95 99.999  9.999 19.062   0   0 9.999 5522   9 0.115
 67798  759.45 1665.09 99.999  9.999 19.618   0   0 9.999 5504   4 0.168
 67799  557.28 1665.94 99.999  9.999 19.023   0   0 9.999 5441   0 0.275
 67800  797.16 1667.66 21.873  2.672 19.201  81   0 0.398 5519   7 0.114
 67802  684.27 1668.06 99.999  9.999 19.103   0   0 9.999 5523  10 0.112
 67803  776.21 1668.79 21.319  2.480 18.839  85   0 0.212 5513  13 0.086
 67804  873.45 1668.74 99.999  9.999 19.241   0   0 9.999 5150   2 0.273
 67805  963.22 1667.96 99.999  9.999 19.468   0   0 9.999 5516   7 0.147
