2457949.54959 16.814 0.012 6.74 492.0
2457952.68487 16.792 0.008 4.85 251.0
2457953.58731 16.797 0.007 4.16 230.0
2457954.48271 16.800 0.008 4.62 504.0
2457954.78017 16.787 0.008 6.05 321.0
2457956.59646 16.791 0.007 4.01 236.0
2457957.67066 16.809 0.009 6.08 260.0
2457958.69475 16.811 0.010 7.20 266.0
2457959.59228 16.790 0.007 4.60 251.0
2457960.48069 16.796 0.009 5.81 306.0
2457960.75261 16.805 0.010 7.17 252.0
2457961.74083 16.807 0.008 6.56 373.0
2457964.46801 16.781 0.013 5.74 1156.0
2457965.62406 16.794 0.008 4.56 325.0
2457966.57521 16.812 0.009 6.39 303.0
2457967.63518 16.785 0.010 6.23 400.0
2457971.50424 16.781 0.010 5.59 606.0
2457971.59475 16.803 0.010 5.31 498.0
2457971.69671 16.821 0.010 5.48 631.0
2457972.53064 16.814 0.013 7.04 529.0
2457972.63490 16.781 0.010 5.50 517.0
2457973.53431 16.803 0.013 7.46 497.0
2457974.52474 16.789 0.008 4.99 383.0
2457975.48973 16.809 0.010 6.65 295.0
2457980.47173 16.797 0.013 6.21 767.0
2457981.55334 16.796 0.008 4.88 340.0
2457982.60044 16.814 0.009 5.07 310.0
2457983.65309 16.794 0.008 5.23 272.0
2457985.53109 16.795 0.011 6.74 340.0
2457986.64191 16.779 0.008 5.19 254.0
2457990.50414 16.811 0.008 5.24 306.0
2457991.58262 16.816 0.010 7.00 286.0
2457992.64027 16.804 0.009 6.11 318.0
2457994.52008 16.807 0.010 5.84 495.0
2457998.52428 16.778 0.009 5.13 563.0
2457998.61806 16.795 0.012 5.67 913.0
2458000.55201 16.790 0.010 6.18 446.0
2458001.49084 16.804 0.009 5.19 424.0
2458002.58822 16.813 0.017 6.65 1575.0
2458005.47341 16.784 0.017 6.78 1412.0
2458010.51611 16.803 0.011 7.15 382.0
2458013.48047 16.819 0.010 5.56 622.0
2458015.50499 16.788 0.011 7.28 334.0
2458017.56302 16.819 0.010 6.30 374.0
2458020.55690 16.792 0.009 5.46 358.0
2458026.53082 16.800 0.011 5.50 1069.0
2458032.55826 16.786 0.013 6.97 706.0
2458164.85488 16.804 0.008 5.11 359.0
2458165.89367 16.802 0.009 4.35 606.0
2458167.88488 16.793 0.008 4.71 314.0
2458169.83903 16.808 0.009 5.54 332.0
2458170.87503 16.788 0.007 3.89 309.0
2458171.89671 16.803 0.009 3.94 754.0
2458173.82761 16.804 0.008 4.34 426.0
2458174.85274 16.777 0.008 4.66 420.0
2458175.86537 16.799 0.007 4.15 293.0
2458176.87104 16.804 0.008 4.22 340.0
2458181.87910 16.794 0.008 4.42 494.0
2458183.86553 16.788 0.009 5.58 436.0
2458184.90193 16.799 0.009 4.74 590.0
2458189.79167 16.808 0.008 4.39 323.0
2458190.89254 16.796 0.007 3.94 262.0
2458192.86889 16.797 0.008 4.56 295.0
2458194.82450 16.799 0.008 5.10 252.0
2458195.91657 16.803 0.009 3.45 1198.0
2458197.81235 16.804 0.008 4.58 272.0
2458198.88471 16.784 0.008 4.88 337.0
2458200.79522 16.795 0.008 4.64 313.0
2458201.86126 16.812 0.008 4.90 249.0
2458202.90541 16.771 0.007 4.70 312.0
2458204.76978 16.817 0.008 5.11 379.0
2458205.81510 16.792 0.009 6.10 308.0
2458206.88183 16.792 0.007 3.87 252.0
2458207.92484 16.765 0.010 3.58 1366.0
2458209.73067 16.785 0.009 4.42 655.0
