 37357  739.31 2205.41 18.111  4.081 14.030  23   0 0.021  398   0 0.010
 37358  727.85 2208.25 19.023  4.301 14.722  23   0 0.030  397   1 0.014
 37359  787.37 2217.68 18.900  4.416 14.484  23   0 0.035  398   0 0.009
 37390  619.84 1918.44 18.902  3.243 15.659  22   0 0.017  397   1 0.007
 37391  907.85 1926.39 18.681  2.969 15.712  23   0 0.014  396   1 0.006
 37392  897.97 1948.76 18.569  3.090 15.480  23   0 0.018  397   1 0.006
 37393  681.46 1961.69 18.952  3.594 15.358  22   0 0.028  397   0 0.006
 37394  713.70 1976.33 18.735  3.043 15.693  23   0 0.019  396   1 0.006
 37395  640.50 2041.52 18.351  2.999 15.351  23   0 0.014  396   1 0.005
 37396  663.84 2052.50 18.558  2.870 15.688  23   0 0.016  397   0 0.006
 37397  716.99 2086.39 18.794  3.311 15.482  22   0 0.026  397   1 0.006
 37399  715.05 2120.68 19.051  3.413 15.639  22   0 0.030  398   0 0.006
 37400  829.56 2141.70 18.501  3.117 15.384  23   0 0.023  397   0 0.006
 37401  904.01 2168.25 18.171  2.741 15.430  22   1 0.019  396   2 0.006
 37402  944.41 2174.44 19.115  3.519 15.596  22   0 0.021  398   0 0.006
 37403  597.35 2175.41 18.260  2.771 15.489  23   0 0.015  398   0 0.006
 37404  732.82 2189.62 19.036  3.365 15.671  21   1 0.020  397   1 0.007
 37405  588.50 2194.59 18.503  2.909 15.595  23   0 0.018  397   1 0.007
 37406  866.35 2212.07 19.005  3.236 15.769  22   0 0.022  396   1 0.007
 37407  611.13 2232.61 18.442  3.185 15.258  23   0 0.017  398   0 0.006
 37408  838.21 2236.63 19.047  3.733 15.314  22   0 0.027  396   1 0.006
 37411  842.82 2235.98 19.723  2.995 16.729  22   0 0.053  397   0 0.023
 37455  655.49 1921.82 19.230  2.678 16.553  21   1 0.023  397   0 0.011
 37456  816.03 1924.10 19.176  2.724 16.452  22   0 0.032  397   0 0.036
 37458  570.83 1944.10 19.544  3.134 16.410  22   0 0.043  395   2 0.010
 37459  821.45 1951.86 18.672  2.883 15.789  23   0 0.021  396   1 0.007
 37460  679.32 1954.10 18.834  2.806 16.028  23   0 0.023  396   1 0.008
 37461  906.19 1956.69 19.217  2.848 16.369  22   0 0.033  397   0 0.010
 37462  690.68 1969.19 18.225  1.713 16.512  23   0 0.018  395   2 0.013
 37463  625.96 1982.12 19.480  2.800 16.680  22   0 0.028  397   0 0.012
 37464  787.34 2002.41 19.338  3.021 16.317  23   0 0.041  396   1 0.010
 37466  823.41 2018.00 18.899  2.812 16.087  23   0 0.025  394   3 0.009
 37467  627.13 2019.70 19.559  2.969 16.589  22   0 0.036  395   1 0.012
 37468  644.33 2025.67 19.132  2.746 16.385  22   0 0.028  394   3 0.010
 37469  730.68 2029.74 19.421  3.498 15.923  22   0 0.034  396   1 0.008
 37471  961.30 2047.16 17.710  1.560 16.150  23   0 0.010  397   0 0.009
 37472  845.46 2055.70 18.802  2.950 15.852  22   0 0.021  397   1 0.008
 37473  734.04 2062.19 19.092  2.950 16.142  21   1 0.026  395   2 0.008
 37474  719.32 2065.39 19.543  3.141 16.402  22   0 0.026  396   1 0.010
 37475  645.05 2070.62 19.183  2.983 16.199  22   0 0.035  397   0 0.009
 37477  908.14 2078.98 19.465  2.995 16.471  22   0 0.042  395   2 0.010
 37478  596.84 2088.77 19.679  2.913 16.765  22   0 0.044  395   2 0.015
